Title	Note	URL	Tags	Comment
My Hanh Seafood		https://www.google.com/maps/place/My+Hanh+Seafood/data=!4m2!3m1!1s0x314217ee3600dbb9:0xd51ecb708db1b26c	🍔 吃	
Golden Lotus Oriental Organic Spa 1	按摩spa	https://www.google.com/maps/place/Golden+Lotus+Oriental+Organic+Spa+1/data=!4m2!3m1!1s0x314219f020a01583:0xe594486ecaa4f115	🏄 玩	
Bánh Xèo Bà Dưỡng		https://www.google.com/maps/place/B%C3%A1nh+X%C3%A8o+B%C3%A0+D%C6%B0%E1%BB%A1ng/data=!4m2!3m1!1s0x314219ca278828ad:0xe50ace1cbe8f6f9f	🍔 吃	
Bánh mì Bà Lan		https://www.google.com/maps/place/Ba%CC%81nh+mi%CC%80+Ba%CC%80+Lan/data=!4m2!3m1!1s0x314219cc392792db:0x345d8778ae248a9d	🍔 吃	
天姥寺		https://www.google.com/maps/place/%E5%A4%A9%E5%A7%A5%E5%AF%BA/data=!4m2!3m1!1s0x3141a6972c6005d3:0xf7268b7a4cf579ba	🏄 玩	
Y Thao Garden		https://www.google.com/maps/place/Y+Thao+Garden/data=!4m2!3m1!1s0x3141a6ce9a7a6cd9:0x2f4f9ff90b95519a	🍔 吃	
Hue Historic Citadel		https://www.google.com/maps/place/Hue+Historic+Citadel/data=!4m2!3m1!1s0x3141a6d3467e9b3d:0xbc393903490905c4	🏄 玩	
立安潭		https://www.google.com/maps/place/%E7%AB%8B%E5%AE%89%E6%BD%AD/data=!4m2!3m1!1s0x3142273dc4ef0a27:0x4d10cf2063696ea1	🏄 玩	
海雲關		https://www.google.com/maps/place/%E6%B5%B7%E9%9B%B2%E9%97%9C/data=!4m2!3m1!1s0x31422151a4984555:0x9a66217b26b3f759	🏄 玩	
海雲關		https://www.google.com/maps/place/%E6%B5%B7%E9%9B%B2%E9%97%9C/data=!4m2!3m1!1s0x3142219e02bc568b:0xb04a3eba486386b5	🏄 玩	
Bánh Mì Sum		https://www.google.com/maps/place/B%C3%A1nh+M%C3%AC+Sum/data=!4m2!3m1!1s0x31420ff34c8edb67:0xcf555292d0c01d07	🍔 吃	
Cộng Cà Phê		https://www.google.com/maps/place/C%E1%BB%99ng+C%C3%A0+Ph%C3%AA/data=!4m2!3m1!1s0x31420e7c4c9d7887:0x6c0b43733b24aee9	🍹 喝	
Hoi An Lantern Boat Tour ( 호이안 랜턴 보트 투어 )	懷河燈籠夜景	https://www.google.com/maps/place/Hoi+An+Lantern+Boat+Tour+(+%ED%98%B8%EC%9D%B4%EC%95%88+%EB%9E%9C%ED%84%B4+%EB%B3%B4%ED%8A%B8+%ED%88%AC%EC%96%B4+)/data=!4m2!3m1!1s0x31420fb5a60d6687:0xb0df90cb15e1b7e1	🏄 玩	
Nguon Spa Da Nang - Nguồn Hoàng Kế Viêm	按摩	https://www.google.com/maps/place/Nguon+Spa+Da+Nang+-+Ngu%E1%BB%93n+Ho%C3%A0ng+K%E1%BA%BF+Vi%C3%AAm/data=!4m2!3m1!1s0x314219f0f5d947c9:0x4a4e64ac0562cb20	🏄 玩	
Luxury Herbal Spa	按摩	https://www.google.com/maps/place/Luxury+Herbal+Spa/data=!4m2!3m1!1s0x31421829ef98d3e9:0x334f8de33feda3d1	🏄 玩	
魚蛋粉		https://www.google.com/maps/place/%E9%AD%9A%E8%9B%8B%E7%B2%89/data=!4m2!3m1!1s0x31421830ba3e1ab9:0x4517adaf3fa99d5	🍔 吃	
Ơ Kìa - Seafood Restaurant		https://www.google.com/maps/place/%C6%A0+K%C3%ACa+-+Seafood+Restaurant/data=!4m2!3m1!1s0x3142199eef80bd7d:0x74fe36a686707bc2	🍔 吃	
巴拿山奇幻樂園		https://www.google.com/maps/place/%E5%B7%B4%E6%8B%BF%E5%B1%B1%E5%A5%87%E5%B9%BB%E6%A8%82%E5%9C%92/data=!4m2!3m1!1s0x3141f6fcd2ca1de9:0x8ab7af426e736a44	🏄 玩	
Bếp Cuốn Đà Nẵng		https://www.google.com/maps/place/B%E1%BA%BFp+Cu%E1%BB%91n+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m2!3m1!1s0x314217f4632748f9:0xdc14dcdba4c73425	🍔 吃	
Thèm Hải Sản		https://www.google.com/maps/place/Th%C3%A8m+H%E1%BA%A3i+S%E1%BA%A3n/data=!4m2!3m1!1s0x314217243501ce37:0xc78ad7b0decd2ecb	🍔 吃	
Cộng Cà Phê		https://www.google.com/maps/place/C%E1%BB%99ng+C%C3%A0+Ph%C3%AA/data=!4m2!3m1!1s0x314218321ae9468b:0x7f3c3d5f44588746	🍹 喝	
Dragon Bridge	龍橋	https://www.google.com/maps/place/Dragon+Bridge/data=!4m2!3m1!1s0x31421996588a512f:0x493b652aa06b12e		
Nhà hàng Madame Lân		https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Madame+L%C3%A2n/data=!4m2!3m1!1s0x31421831ce4d457b:0xc2f54574a65b6322	🍔 吃	
Purple Lantern Restaurant( An Bang Beach Hoi An )		https://www.google.com/maps/place/Purple+Lantern+Restaurant(+An+Bang+Beach+Hoi+An+)/data=!4m2!3m1!1s0x31420dfe9f563083:0x7d5ae53bd675bc35	🍔 吃	
